path,source_url,license,credit_required (y/n),town
content/lyons/images/river-volunteers.jpg,https://www.flickr.com/photos/138515959@N08/37655543635,Public domain (csfs_volunteers),n,lyons
content/lyons/images/river-volunteers-2.jpg,https://www.flickr.com/photos/138515959@N08/37655450315,Public domain (csfs_volunteers),n,lyons
content/lyons/images/hall-ranch-trail.jpg,https://www.flickr.com/photos/77807177@N00/321916349,CC BY-SA 2.0 (s_mestdagh),y,lyons
content/lyons/images/hall-ranch-snow.jpg,https://www.flickr.com/photos/77807177@N00/321915877,CC BY-SA 2.0 (s_mestdagh),y,lyons
content/lyons/images/hall-ranch-view.jpg,https://www.flickr.com/photos/77807177@N00/321913636,CC BY-SA 2.0 (s_mestdagh),y,lyons
content/lyons/images/junction-36-66.jpg,https://www.flickr.com/photos/75683070@N00/2378755001,CC BY-SA 2.0 (Ken Lund),y,lyons
content/lyons/images/st-vrain-canyon.jpg,https://www.flickr.com/photos/61112853@N06/6159409876,CC BY 2.0 (Max and Dee),y,lyons
content/lyons/images/meadow-dusk.jpg,https://www.flickr.com/photos/52612760@N00/8451662638,CC BY 2.0 (Alex Kehr),y,lyons
content/lyons/images/oskar-blues-pints.jpg,https://www.flickr.com/photos/7830943@N03/9247047217,CC BY-SA 2.0 (ShanMcG213),y,lyons
content/lyons/images/dales-pale-ale.jpg,https://www.flickr.com/photos/67975030@N00/4440369712,CC BY 2.0 (Bernt Rostad),y,lyons
content/lyons/images/planet-bluegrass-cliff.jpg,https://www.flickr.com/photos/78428166@N00/4172664625,CC BY 2.0 (Tobyotter),y,lyons
content/lyons/images/planet-bluegrass-river.jpg,https://www.flickr.com/photos/78428166@N00/3800988226,CC BY 2.0 (Tobyotter),y,lyons
content/lyons/images/railroad-car.jpg,https://www.flickr.com/photos/32693718@N07/46923021621,CC BY 2.0 (davidwilson1949),y,lyons
content/lyons/images/sandstone-ripples.jpg,https://www.flickr.com/photos/47445767@N05/49176714837,CC BY 2.0 (James St. John),y,lyons
content/lyons/images/us36-west.jpg,https://www.flickr.com/photos/75683070@N00/2379597784,CC BY-SA 2.0 (Ken Lund),y,lyons
content/lyons/images/post-office.jpg,https://www.flickr.com/photos/7830943@N03/9321096482,CC BY-SA 2.0 (ShanMcG213),y,lyons
content/berthoud/images/hero.jpg,https://commons.wikimedia.org/wiki/File:Carter_Lake_6-14_(22966298211).jpg,CC BY-SA 2.0 (KimonBerlin via Flickr; 2014); resized to 2000px,y,berthoud
content/berthoud/images/carter-lake.jpg,https://commons.wikimedia.org/wiki/File:Carter_Lake_6-14_(22332424584).jpg,CC BY-SA 2.0 (KimonBerlin via Flickr; 2014); resized to 1600px,y,berthoud
content/berthoud/images/bimson-blacksmith-shop.jpg,https://commons.wikimedia.org/wiki/File:Bimson_Blacksmith_Shop.JPG,CC BY-SA 3.0 (Jeffrey Beall); resized to 1600px,y,berthoud
content/berthoud/images/swanson-farm.jpg,https://commons.wikimedia.org/wiki/File:Gustav_%26_Annie_Swanson_Farm.JPG,CC BY-SA 3.0 (Jeffrey Beall); resized to 1600px,y,berthoud
content/berthoud/images/town-limits.jpg,"https://commons.wikimedia.org/wiki/File:Berthoud,_Colorado.JPG",CC BY-SA 3.0 (Jeffrey Beall); resized to 1600px,y,berthoud
content/berthoud/images/welcome-sign.jpg,"https://commons.wikimedia.org/wiki/File:Welcome_sign_for_Berthoud,_Colorado.jpg",CC0 (ZoologicalLee; 2021); resized to 1200px,n,berthoud
content/erie/images/hero.jpg,https://commons.wikimedia.org/wiki/File:Baseline_Road_(Colorado).JPG,CC BY 4.0 (Jeffrey Beall; 2016); resized to 2000px,y,erie
content/erie/images/old-mine-1889.jpg,https://commons.wikimedia.org/wiki/File:Erie_Colorado_1889_Brick_Building.jpg,CC BY-SA 4.0 (Erie Bard); resized to 1600px,y,erie
content/erie/images/miner-memorial.jpg,https://commons.wikimedia.org/wiki/File:Erie_Colorado_Miner_Memorial.jpg,CC BY-SA 4.0 (Erie Bard); resized to 1600px,y,erie
content/erie/images/library.jpg,https://commons.wikimedia.org/wiki/File:Erie_Colorado_Public_Library.jpg,CC BY-SA 4.0 (Erie Bard; 2019); resized to 1600px,y,erie
content/erie/images/community-center.jpg,https://commons.wikimedia.org/wiki/File:Erie_Community_Center_West_Entrance.jpg,CC BY-SA 4.0 (Erie Bard; 2019); resized to 1600px,y,erie
content/erie/images/town-hall.jpg,https://commons.wikimedia.org/wiki/File:Town_Hall_Erie_Colorado_01.jpg,CC BY-SA 4.0 (Erie Bard; 2019); resized to 1600px,y,erie
content/erie/images/old-city-hall.jpg,https://commons.wikimedia.org/wiki/File:Old_Erie_Colorado_City_Hall.jpg,CC BY-SA 4.0 (Erie Bard); resized to 1600px,y,erie
content/johnstown/images/hero.jpg,https://commons.wikimedia.org/wiki/File:Road_in_the_Colorado_heartland_(6453007775).jpg,CC BY 2.0 (Maarten Heerlien via Flickr; 2010); resized to 1920px,y,johnstown
content/johnstown/images/town-hall.jpg,"https://commons.wikimedia.org/wiki/File:Johnstown,_Colorado_Town_Hall.JPG",CC BY-SA 3.0 (Jeffrey Beall; 2015); resized to 1600px,y,johnstown
content/johnstown/images/oil-well.jpg,https://commons.wikimedia.org/wiki/File:Oil_well_(6453005617).jpg,CC BY 2.0 (Maarten Heerlien via Flickr; 2010); resized to 1600px,y,johnstown
content/johnstown/images/scheels.jpg,https://commons.wikimedia.org/wiki/File:Scheels_All_Sports_Store_-_Johnstown_Colorado_(53164743435).jpg,CC BY 2.0 (Tony Webster via Flickr; 2023); resized to 1600px,y,johnstown
content/timnath/images/hero.jpg,https://commons.wikimedia.org/wiki/File:Fossil_Creek_Reservoir_(8279337688).jpg,CC BY-SA 2.0 (KimonBerlin via Flickr; 2012); resized to 1920px,y,timnath
content/timnath/images/fossil-creek-hawk.jpg,https://commons.wikimedia.org/wiki/File:Buteo_jamaicensis_at_Fossil_Creek_Reservoir_(12960768653).jpg,CC BY-SA 2.0 (KimonBerlin via Flickr; 2014); resized to 1280px,y,timnath
content/timnath/images/sunrise.jpg,"https://commons.wikimedia.org/wiki/File:Sunrise_in_Timnath,_CO_(11655108055).jpg",CC BY 2.0 (USFWS Mountain-Prairie via Flickr; 2013); 960px original,y,timnath
content/timnath/images/old-town.jpg,https://commons.wikimedia.org/wiki/File:Timnath-Downtown.JPG,Public domain (Commons uploader); 717px original,n,timnath
content/timnath/images/town-square.jpg,https://commons.wikimedia.org/wiki/File:Timnath-TownSquare.JPG,Public domain (Commons uploader); 585px original,n,timnath
content/elizabeth/images/hero.jpg,https://commons.wikimedia.org/wiki/File:Elizabeth_Colorado.JPG,CC BY-SA 3.0 (ERoss99; 2012); resized to 1920px,y,elizabeth
content/elizabeth/images/town-hall.jpg,"https://commons.wikimedia.org/wiki/File:Elizabeth,_Colorado_town_hall.JPG",CC BY 4.0 (Jeffrey Beall); resized to 1280px,y,elizabeth
content/elizabeth/images/huber-carlson.jpg,https://commons.wikimedia.org/wiki/File:Huber-Carlson_Building.JPG,CC BY 4.0 (Jeffrey Beall); resized to 1280px,y,elizabeth
