town,name,type,address,area,phone,website,hours
erie,County Line Wine & Spirits,shop,460 Erie Pkwy,Erie Parkway,,,"Mon–Sat 8 am–10 pm, Sun 8 am–8 pm"
erie,Ziggi's Coffee,coffee,331 Milan Pl,Erie Parkway,(720) 250-0440,https://ziggiscoffee.com/,Daily 6–6
erie,Pho-ever,restaurant,680 Mitchell Way,"Erie Parkway, Mitchell Way",,https://www.phoevererie.com/,"Mon, Wed–Sun 11–8:30; closed Tue"
erie,24 Carrot Bistro,restaurant,578 Briggs St,"Historic downtown, Briggs Street",,https://www.24carrotbistro.com/,"Tue–Thu 11–2 & 4:30–8, Fri 11–2 & 4:30–9, Sat 9–2 & 4:30–9, Sun 9–2 & 4:30–8; closed Mon"
erie,Birdhouse,restaurant,526 Briggs St,"Historic downtown, Briggs Street",,https://www.eatatbirdhouse.com/,"Tue–Thu 4–9, Fri–Sat 11:30–9:30, Sun 11:30–8:30; closed Mon"
erie,Briggs Street Books and Music,shop,"615 Briggs St, Unit D","Historic downtown, Briggs Street",,https://briggsstreetbooks.com/,
erie,Cellar West Brewery,bar,445 Briggs St,"Historic downtown, Briggs Street",,https://www.cellarwest.com/,
erie,CyclErie,shop,"515 Briggs St, Suite D","Historic downtown, Briggs Street",,https://store.cyclerie.net/,"Tue–Sat 10–6, Sun 11–3; closed Mon"
erie,Echo Brewing & Pizzeria,bar,600 Briggs St,"Historic downtown, Briggs Street",(720) 361-2332,https://echobrewing.com/,"Mon–Wed 4–8:30, Thu 4–9, Fri 3:30–9, Sat 11–9, Sun 11–8"
erie,FOX•DOG Coffee,coffee,"515 Briggs St, Unit A","Historic downtown, Briggs Street",(303) 862-5306,https://www.foxdogcoffee.com/,"Mon–Sat 7–4, Sun 7–1"
erie,Lucile's Creole Cafe,restaurant,544 Briggs St,"Historic downtown, Briggs Street",,https://www.luciles.com/erie-location-menu/,"Mon–Fri 7–2, Sat–Sun 8–2"
erie,Piripi,restaurant,"615 Briggs St, Suite C","Historic downtown, Briggs Street",,https://www.piripirestaurant.com/,"Mon 12–9, Tue–Sat 11–9, Sun 4–9"
erie,Sweets Ice Cream,coffee,502 Briggs St,"Historic downtown, Briggs Street",,https://www.sweetsicecream.com/,"Mon–Thu 3–8, Fri–Sat 12–9, Sun 12–8"
erie,The Dugout Grill & Bar,restaurant,"149 S Briggs St, Unit 105",South Briggs Street,,https://www.dugoutgrillandbarerie.com/,"Mon–Thu 11–9, Fri 9 am–12, Sat 8–10, Sun 8–9"
erie,Erie Social Club,bar,"105 Wells St, Suite 120","Wells Street, downtown",,https://www.eriesocialclub.com/,"Tue–Thu 3–9, Fri–Sat 3–10; closed Sun–Mon"
johnstown,Johnson's Corner,restaurant,2842 SE Frontage Rd,"I-25 frontage road, west edge",,https://www.facebook.com/JohnsonsCorner/,
johnstown,Bad Daddy's Burger Bar,restaurant,4928 Thompson Pkwy,"Johnstown Plaza at 2534, I-25 and US 34",,https://baddaddysburgerbar.com/,"Sun–Thu 11–10, Fri–Sat 11–11"
johnstown,Duck Donuts,coffee,4842 Larimer Pkwy,"Johnstown Plaza at 2534, I-25 and US 34",,https://www.duckdonuts.com/menu/4842-larimer-parkway-johnstown-co-80534,Daily 6 am–6 pm
johnstown,Johnstown Plaza,shop,Thompson Pkwy & Ronald Reagan Blvd,"Johnstown Plaza at 2534, I-25 and US 34",,https://johnstownplaza.com/current-tenants/,
johnstown,The Original Lazy Dog Bar & Grill,restaurant,4801 Thompson Pkwy,"Johnstown Plaza at 2534, I-25 and US 34",,https://www.thelazydog.com/loc-johnstown,"Mon–Thu 11–8, Fri 11–9, Sat 10–9, Sun 10–8"
johnstown,"Urban Egg, a daytime eatery",restaurant,4861 Thompson Pkwy,"Johnstown Plaza at 2534, I-25 and US 34",,https://www.urbanegg.com/location/johnstown/,"Mon–Fri 7–2, Sat–Sun 7–2:30"
johnstown,Johnstown Lunch Box,restaurant,111 S 1st St,"Old Town, 1st Street",,,"Mon–Sat 9–5, Sun 10–2"
johnstown,Black Sheep Coffee & Crepes,coffee,19 S Parish Ave,"Old Town, Parish Avenue",(970) 587-5257,https://www.blacksheepjohnstown.com/,"Mon–Fri 7–2, Sat–Sun 8–2"
johnstown,Cassidy's Sports Grill,restaurant,15 S Parish Ave,"Old Town, Parish Avenue",(970) 587-7744,https://cassidysjohnstown.com/,"Mon–Thu 11–11, Fri–Sat 11–12, Sun 11–11"
johnstown,Dominic's Hometown Pizza,restaurant,19 S Parish Ave,"Old Town, Parish Avenue",,https://dominicsdelivery.com/,Daily 11–9
johnstown,Nicole's Warehouse Antiques & Collectibles,shop,33 N Parish Ave,"Old Town, Parish Avenue",,https://nicoleswarehouse.com/,Wed–Sat 10–5; closed Sun–Tue
johnstown,Santiago's Mexican Restaurant,restaurant,12 S Parish Ave,"Old Town, Parish Avenue",(970) 587-4134,https://eatatsantiagos.com/Johnstown,Mon–Sat 6 am–8 pm; closed Sun
johnstown,We Knead Donut,coffee,13 S Parish Ave,"Old Town, Parish Avenue",,,"Tue–Fri 6–12, Sat–Sun 6–1; closed Mon"
lyons,Julie’s Thai Kitchen,restaurant,138 Main St,East Main,,https://juliesthaikitchen.com/,"Tue–Sat 4:30–8:30 pm, Sun 4–8:30 pm"
lyons,La Mariposa,restaurant,112 E Main St,East Main,,https://www.lamariposarestaurants.com/,Daily 11 am–9 pm
lyons,Lyons Dairy Bar,restaurant,138 Main St,East Main,,https://thenewlyonsdairybar.com/,Daily 11 am–7 pm
lyons,Western Stars Gallery & Studio,shop,160 E Main St,East Main,,,"Fri–Sat 10 am–5 pm, Sun 10 am–6 pm"
lyons,MudHut Lyons,coffee,4033 Ute Hwy (CO 66),East of town on CO 66,,https://lyonscolorado.com/,Daily 7 am–3 pm
lyons,Spirit Hound Distillers,bar,4196 Ute Hwy (CO 66),East of town on CO 66,,https://spirithounds.com/,"Mon–Wed noon–8 pm, Thu noon–9 pm, Fri–Sat 11 am–9 pm, Sun 11 am–8 pm"
lyons,Lyons Locale,bar,442 High St,High Street,,https://lyonslocale.com/,"Thu 4–9 pm, Fri 4–10 pm, Sat 2–10 pm, Sun 2–7 pm"
lyons,Moxie Mercantile,coffee,442 High St,High Street,,https://moxiebreadco.com/,Daily 7 am–4 pm
lyons,Gatherings of a Lifetime,shop,447 Main St,Main Street,,https://www.lyonscolorado.com/,Sat–Sun 10 am–4 pm
lyons,Honorable Harvest,shop,304-C Main St,Main Street,,https://www.honorable-harvest.com/,Tue–Sun 10 am–6 pm
lyons,Indian Bites,restaurant,432 Main St,Main Street,,https://indianbitesco.com/,"Mon, Tue & Thu 11 am–8 pm, Wed 4–8 pm, Fri–Sun 11 am–8:30 pm"
lyons,MainStage Brewing Company,bar,450 Main St,Main Street,,https://mainstagebrewing.com/,"Mon–Sat 11 am–10 pm, Sun 11 am–9 pm"
lyons,Marigold,restaurant,"405 Main St, Unit B",Main Street,,https://marigoldlyons.com/,"Wed–Thu & Sun 5–9 pm, Fri–Sat 5–10 pm"
lyons,Mojo Taqueria,restaurant,216 Main St,Main Street,,https://mojotaqueria.com/,"Tue–Fri 4–9 pm, Sat–Sun 11 am–9 pm"
lyons,Smokin Dave’s BBQ & Taphouse,restaurant,228 Main St,Main Street,,https://smokindavesbbq.com/,Daily 11 am–8 pm
lyons,Solace,coffee,437 Main St,Main Street,,https://lyonscolorado.com/,Daily 10 am–5 pm
lyons,South Creek Ltd,shop,415 Main St,Main Street,,https://www.lyonscolorado.com/,"Mon–Sat, appointment advised; closed Sun"
lyons,St. Vrain Market,shop,455 Main St,Main Street,,https://stvrainmarket.com/,Daily 8 am–8 pm
lyons,Uniquely Lyons,shop,441 Main St,Main Street,,https://www.lyonscolorado.com/,"Mon–Fri 9 am–5 pm, Sat–Sun 10 am–4 pm"
lyons,Stone Mountain Lodge & Cabins,lodging,"North St. Vrain Drive (US 36), west of town",On the road to Estes Park,,https://www.stonemountainlodge.com/,"Check-in 4 pm, check-out 11 am"
lyons,LaVern M. Johnson Park Campground,lodging,"LaVern M. Johnson Park, off Broadway",The river,,https://www.lyonscolorado.com/311/Parks-and-Recreation,"Check-in 1 pm, check-out 11 am; quiet 10 pm–8 am"
lyons,A-Lodge Lyons,lodging,338 W Main St,"West Main, on the river",,https://www.a-lodge.com/,
lyons,The Rock Garden,bar,338 W Main St (at A-Lodge),"West Main, on the river",,https://rockgardenlyons.com/,"Mon & Wed–Thu 3–9 pm, Fri 3–10 pm, Sat–Sun 10 am–10 pm"
lyons,WeeCasa Tiny House Resort,lodging,501 W Main St,"West Main, on the river",,https://www.weecasa.com/,"Check-in 3 pm, check-out 11 am; quiet from 10 pm"
niwot,Fritz Family Brewers,bar,6778 N 79th Street,"79th Street, south of Niwot Road",,https://www.fritzfamilybrewers.com/,"Mon–Thu 3–9 pm, Fri 1–10 pm, Sat noon–10 pm, Sun noon–9 pm"
niwot,Emory Jane’s Coffee Co.,coffee,Mobile; see the operator’s schedule,Around Niwot,,https://www.emoryjanescoffeeco.com/,
niwot,Abo’s Pizza Niwot,restaurant,"7960 Niwot Road, Suite B5",Cottonwood Square,,https://abospizza.com/locations/niwot/,"Mon–Thu 10:30–7, Fri 10:30–8, Sat–Sun 11–7"
niwot,Fan’s Chinese Cuisine,restaurant,"7960 Niwot Road, Unit C9",Cottonwood Square,,https://niwot.com/,Daily 11 am–8:15 pm
niwot,Fly Away Home,shop,7960 Niwot Road,Cottonwood Square,,https://www.flyawayhomedecor.com/,"Tue–Fri 10–5, Sat 10–4; closed Sun–Mon"
niwot,Hanna’s Herb Shop,shop,"7960 Niwot Road, Suite D15",Cottonwood Square,,https://www.hannasherbshop.com/,"Tue–Fri 10–6, Sat 10–4; closed Sun–Mon"
niwot,Inkberry Books,shop,"7960 Niwot Road, Suite B3",Cottonwood Square,,https://niwot.com/listing/inkberry-books/,Daily 10–3
niwot,Niwot Market,shop,7980 Niwot Road,Cottonwood Square,,https://niwotmarket.com/,Daily 7 am–8 pm
niwot,Niwot Wheel Works,shop,"7960 Niwot Road, Unit C10",Cottonwood Square,,https://www.niwotwheelworks.com/,Tue–Sat 10–5; closed Sun–Mon
niwot,Raza Fresa Mexican Kitchen,restaurant,"7960 Niwot Road, Suite 11D",Cottonwood Square,,https://razafresa.com/,"Sun–Wed 11–8:30, Thu–Sat 11–9"
niwot,Subway,restaurant,"7960 Niwot Road, Unit B10",Cottonwood Square,,https://restaurants.subway.com/united-states/co/niwot/7960-niwot-rd,"Mon–Fri 10–7, Sat 10–6; closed Sun"
niwot,The Garden Gate Cafe,restaurant,"7960 Niwot Road, Unit B4",Cottonwood Square,,https://www.thegardengatecafe.com/,Daily 7 am–2 pm
niwot,WiNot Coffee Company,coffee,"7960 Niwot Road, Unit D13",Cottonwood Square,,https://niwot.com/listing/winot-coffee-company/,"Mon 7–2, Tue–Fri 7–4, Sat–Sun 7–2"
niwot,Belle Terre Floral,shop,7960 Niwot Road,"Cottonwood Square, and inside Niwot Market",,https://niwot.com/listing/belle-terre-floral/,Mon–Sat 10–5; closed Sun
niwot,Niwot Market Deli,restaurant,7980 Niwot Road,Inside Niwot Market,,https://niwotmarket.com/deli,
niwot,Sachi Sushi,restaurant,7980 Niwot Road,Inside Niwot Market,,https://niwotmarket.com/sachi-sushi-1,Closed Mondays and Tuesdays
niwot,The Nook,shop,7980 Niwot Road,Inside Niwot Market,,https://niwotmarket.com/the-nook,Daily 7 am–8 pm
niwot,Fortezza Ristorante,restaurant,7916 Niwot Road,Niwot Road,,https://fortezzaristorante.com/,Wed–Mon 3:30–8:30 pm; closed Tue
niwot,Niwot Jewelry & Gifts,shop,"300 Second Avenue, Suite 102","Old Town, 300 block",,https://niwot.com/listing/niwot-jewelry-gifts/,"Mon 10–5, Tue–Fri 10–6, Sat 10–5; closed Sun"
niwot,Little Bird,shop,112 Second Avenue,"Old Town, Second Avenue",,https://niwot.com/listing/little-bird/,Mon–Sat 10–5; closed Sun
niwot,Love Ice Cream,coffee,240 Second Avenue,"Old Town, Second Avenue",,https://www.loveicecream.co/,"Sun–Thu 12–8, Fri–Sat 12–9"
niwot,Niwot Inn & Spa,lodging,342 Second Avenue,"Old Town, Second Avenue",,https://niwotinn.com/,
niwot,Niwot Liquor Store,shop,361 Second Avenue,"Old Town, Second Avenue",,https://niwot.com/listing/niwot-liquor/,
niwot,Taverna Laudisio,restaurant,121 Second Avenue,"Old Town, Second Avenue",,https://tavernalaudisio.com/,"Wed–Thu & Sun 4–8:30, Fri–Sat 4–9"
niwot,The Old Oak Coffeehouse,coffee,136 Second Avenue,"Old Town, Second Avenue",,https://www.theoldoakcoffeehouse.com/,"Mon–Sat 7 am–4 pm, Sun 7 am–3 pm"
niwot,The Wheel House,bar,"101 Second Avenue, Suite B","Old Town, Second Avenue",,https://www.niwotwheelhouse.com/,"Tue–Thu 11–9, Fri 11–10, Sat 12–10, Sun 3–8; closed Mon"
niwot,Wise Buys Antiques,shop,190 Second Avenue,"Old Town, Second Avenue",,https://niwot.com/listing/wise-buys-antiques/,
niwot,Murray Street Flowers,shop,100 Murray Street,"Old Town, at First Avenue and Murray Street",,https://www.murraystreetflowers.com/,"Cart out Fridays and Saturdays, April to October"
timnath,G-Que BBQ,restaurant,4931 Cima Vista Dr,"Cima Vista Drive, off Harmony Road",(970) 823-8142,https://gquebbq.com/locations/timnath/,"Sun–Thu 11–9, Fri–Sat 11–10"
timnath,Pedro's Coffee Shop,coffee,2100 S Colorado Blvd,"Colorado Boulevard, east side",(970) 399-9424,https://pedroscoffeeshop.com/,Daily 7–3
timnath,Chelo's Modern Mexican,restaurant,"5451 E Harmony Rd, Suite 100",Harmony Road at I-25,,,"Mon–Thu 11–9, Fri–Sat 11–10, Sun 11–8"
timnath,Costco Timnath,shop,4705 Weitzel St,Harmony Road at I-25,,https://www.costco.com/w/-/co/timnath/1178,"Mon–Fri 10–8:30, Sat 9:30–6, Sun 10–6"
timnath,Wild Pastures Burger Co.,restaurant,"5451 E Harmony Rd, Bldg 1, Unit 101",Harmony Road at I-25,(970) 744-4137,https://wildpasturesburger.com/,Wed–Sun 12–8; closed Mon–Tue
timnath,CF&G Public Market & Coffeehouse,coffee,"4138 Main St, Unit A","Old Town, Main Street",,https://cfgpublicmarket.com/,"Sun–Thu 7–3, Fri–Sat 7–5"
timnath,The Hidden Stem,shop,4007 Main St,"Old Town, Main Street",(970) 473-4565,,Wed–Sun 9–6; closed Mon–Tue
timnath,Timnath Beerwerks,bar,4138 Main St,"Old Town, Main Street",(970) 999-5751,https://www.timnathbeerwerks.com/,"Sun–Wed 12–8, Thu–Sat 12–9"
timnath,Mein House,restaurant,"4650 Signal Tree Dr, Suite 1900","Signal Tree Drive, Town Center",(970) 825-5565,https://www.themeinhouse.com/,Mon–Sat 11–9; closed Sun
timnath,Timnath Beverage,shop,6790 Innovate Pl,"Timnath Ranch, Innovate Place",,,"Mon–Sat 9 am–9 pm, Sun 9 am–7 pm"
